miRNA,disease
mir-9-5p,irradiated hepatic stellate cell
mir-1252-5p,"epilepsy, temporal lobe"
mir-661,"arthritis, rheumatoid"
mir-138-5p,osteoarthritis
nampt,osteoarthritis
mir-136,osteoarthritis
hsa-mir-940,chronic thromboembolic pulmonary hypertension
mef2a,vascular endothelial dysfunction
mir-17-3p,intervertebral disc degeneration
mir-1972,fatty liver
mir-7,alzheimer disease
mir-204,"arthritis, rheumatoid"
sa-mir-940,chronic thromboembolic pulmonary hypertension
hsa-mir-146b-5p,crohn disease
mir-124,cardiovascular diseases
mir-155,"epilepsy, temporal lobe"
mir-766,multiple sclerosis
mir-455-3p,"arthritis, rheumatoid"
mir-34a,hepatocellular steatosis
mir-615-5p,vascular endothelial dysfunction
mir-335-3p,ischemic stroke
mir-876-3p,"arthritis, rheumatoid"
mir-519d-3p,osteoarthritis
mir-204-5p,diabetic cataract
mir-19a,aortic aneurysm
mir-127-5p,glucocorticoid-induced osteonecrosis of femoral head
mir-519d-3p,diabetic retinopathy
mir-615-5p,diabetic retinopathy
hsa-mir-571,leukemia
hsa-mir-138-5p,leukemia
let-7g-5p,"arthritis, rheumatoid"
mir-130a-3p,coronary artery disease
mir-323a-5p,"arthritis, rheumatoid"
crkl,chronic thromboembolic pulmonary hypertension
hsa-mir-10a-5p,hypertension
hsa-mir-5096,hypertension
hsa-mir-328-3p,leukemia
mir-122,"liver diseases, alcoholic"
mir-150-5p,hirschsprung disease
mir-29b,"lupus erythematosus, systemic"
mir-1324,hirschsprung disease
mir-217,retinal neurodegeneration
hsa-mir-30c-1-3p,leukemia
hsa-mir-496,"leukemia, myeloid, acute"
mir-939,coronary atherosclerotic heart disease
mir-125a-3p,"lupus erythematosus, systemic"
mir-26a,osteoarthritis
e2f1,cardiac senescence
mir-184,lymphangiogenesis
mir-665,osteoarthritis
mir-431,intervertebral disc degeneration
hsa-mir-182-5p,crohn disease
hsa-mir-130a-3p,coronary artery disease
fak,cardiac senescence
hsa-mir-3614-3p,"diabetes mellitus, type 2"
cdk6,chronic thromboembolic pulmonary hypertension
hsa-mir-498,"diabetes mellitus, type 2"
mir-217,osteoarthritis
