circRNA,disease
circankrd36,"diabetes mellitus, type 2"
hsa_circ_0003519,active pulmonary tuberculosis
hsa_circrna_101720,moyamoya disease
circrna_09993,"tuberculosis, pulmonary"
hsa_circ_0088452,active pulmonary tuberculosis
hsa_circ_0006323,coronary artery disease
hsa_circ_0005105,osteoarthritis
hsa_circ_087631,"liver cirrhosis, biliary"
hsa_circ_0070963,liver cirrhosis
circrna_103047,"arthritis, rheumatoid"
hsa_circ_0036877,pre-eclampsia
hsa_circ_0072765,liver cirrhosis
hsa_circ_0098964,coronary artery disease
circrna_0005941,acne vulgaris
hsa_circrna_100914,moyamoya disease
hsa_circ_103783,leukoaraiosis
hsa_circrna_101873,"arthritis, rheumatoid"
hsa_circ_0035560,multiple sclerosis
hsa_circrna_003251,t2dm with depression
hsa_circrna11806-28,"diabetes mellitus, type 2"
hsa_circ_102470,leukoaraiosis
circ_stk17a,"epilepsy, temporal lobe"
hsa_circrna_005086,active tuberculosis
hsa_circ_0032683,"arthritis, rheumatoid"
circular rna wdr77,cardiovascular diseases
circrna.1030,"diabetes, gestational"
hsa-circ-0008139,hypertension
hsa_circ_0108308,multiple system atrophy
circrna_13478,"tuberculosis, pulmonary"
hsa_circ_0124644,coronary artery disease
hsa_circ_0002113,"tuberculosis, pulmonary"
hsa_circ_092516,"arthritis, rheumatoid"
hsa_circ_0032891,multiple system atrophy
hsa_circ_406329,"liver cirrhosis, biliary"
hsa_circ_0106803,multiple sclerosis
hsa_circ_0037911,essential hypertension
hsa_circ_0002161,essential hypertension
hsa_circ_0030055,diabetic retinopathy
hsa_circrna_104854,repeated implantation failure
hsa_circ_0068087,"diabetes mellitus, type 2"
hsa_circ_0045714,osteoarthritis
hsa_circ_0043497,tuberculosis
cznf292,heart failure
circusp45,glucocorticoid-induced osteonecrosis of femoral head
hsa_circ_0054211,multiple system atrophy
circ_ubqln1,"epilepsy, temporal lobe"
hsa_circ_0123996,mucocutaneous lymph node syndrome
hsa_circ_0000479,"lupus erythematosus, systemic"
circ-prkci,hirschsprung disease
hsa-circ-0040809,hypertension
hsa_circ_0054345,irradiated hepatic stellate cell
hsa_circ_0054633,"diabetes mellitus, type 2"
hsa_circ_0023903,moyamoya disease
hsa_circ_0050898,moyamoya disease
hsa_circ_0000254,"leukemia, myeloid, acute"
hsa_circ_0001866,"lupus erythematosus, systemic"
hsa_circ_0038374,multiple system atrophy
circrna_0046366,hepatocellular steatosis
hsa_circ_0017446,"leukemia, myeloid, acute"
hsa_circ_0046599,"lupus erythematosus, systemic"
hsa_circ_0070963,irradiated hepatic stellate cell
hsa_circ_0001859,"arthritis, rheumatoid"
hsa_circ_0056731,multiple sclerosis
circ_cct4,"epilepsy, temporal lobe"
hsa_circrna_103410,diabetic retinopathy
hsa_circ_0000518,multiple sclerosis
hsa_circ_0063179,"tuberculosis, pulmonary"
hsa_circ_002082,fatty liver
hsa_circ_0049657,"leukemia, myeloid, acute"
hsa_circ_0054345,liver cirrhosis
circrna_26852,metabolism-related diseases
hsa_circ_0041796,diabetic retinopathy
hsa_circ_0072668,facet joint osteoarthritis
has_circ_0049220,"lupus erythematosus, systemic"
circrna-0004904,pre-eclampsia
hsa_circ_0044235,"arthritis, rheumatoid"
hsa_circ_0008797,"tuberculosis, pulmonary"
hsa_circ_0100783,immunosenescence
hsa_circ_0005127,facet joint osteoarthritis
circ kmt2e,diabetic cataract
hsa_circ_0067209,moyamoya disease
hsa-circrna11783-2,coronary artery disease
hsa_circ_0026388,diabetic retinopathy
circrna_104670,intervertebral disc degeneration
hsa_circ_0003171,primary great saphenous vein varicosities
hsa_circrna_044353,repeated implantation failure
hsa_circ_402458,"liver cirrhosis, biliary"
hsa_circrna_103343,moyamoya disease
circrna_09585,"tuberculosis, pulmonary"
hsa_circ_004183,fatty liver
hsa_circrna_103387,osteoarthritis
cttn5,heart failure
hsa_circ_0005402,multiple sclerosis
hsa_circ_0041946,intervertebral disc degeneration
hsa_circ_0001204,tuberculosis
circrna_0084927,acne vulgaris
hsa_circ_0008078,"leukemia, myeloid, acute"
hsa_circ_0032970,coronary artery disease
circdlgap4,ischemic stroke
hsa_circ_014724,fatty liver
hsa_circ_0071410,liver cirrhosis
hsa_circ_0052012,"arthritis, rheumatoid"
hsa_circrna_0054633,"diabetes, gestational"
hsa_circ_0005540,multiple system atrophy
hsa_circ_0081108,diabetic retinopathy
hsa_circ_0126991,essential hypertension
hsa_circ_0005519,asthma
circsmarca5,cardiovascular diseases
hsa_circ_0053743,facet joint osteoarthritis
hsa_circ_052372,"liver cirrhosis, biliary"
hsa_circ_101396,leukoaraiosis
hsa_circ_0072410,diabetic retinopathy
cir-ccdc66,hirschsprung disease
circ_004662,crohn disease
circr-284,carotid plaque rupture
hsa_circ_082319,"liver cirrhosis, biliary"
hsa_circ_0023115,endometriosis
hsa_circ_0006801,"osteoporosis, postmenopausal"
hsa_circrna_406918,diabetic retinopathy
hsa_circ_0008615,"lupus erythematosus, systemic"
hsa_circ_0034398,"lupus erythematosus, systemic"
circrna_atp9b,osteoarthritis
circ_vps37c,"epilepsy, temporal lobe"
hsa_circ_0082824,coronary artery disease
hsa_circ_0002569,moyamoya disease
cdkn2b-as1,inflammatory bowel diseases
hsa_circ_0087206,diabetic retinopathy
hsa_circrna_104871,"arthritis, rheumatoid"
hsa_circrna_009024,active tuberculosis
circ_102610,crohn disease
hsa_circ_0003146,"lupus erythematosus, systemic"
circrna-0044073,atherosclerosis
hsa_circ_0080210,intervertebral disc degeneration
hsa_circ_0000681,"tuberculosis, pulmonary"
hsa-circrna11783-2,"diabetes mellitus, type 2"
hsa_circrna_104964,active tuberculosis
circrna_000203,cardiac fibrosis
hsa_circrna11806-28,coronary artery disease
circ_efcab2,"epilepsy, temporal lobe"
hsa_circrna_101975,osteoarthritis
hsa_circrna_100192,diabetic retinopathy
hsa_circ6510-1,coronary artery disease
hsa_circ_0006404,myocardial senescence
circ_usp9y,"epilepsy, temporal lobe"
hsa_circrna_101319,"arthritis, rheumatoid"
hsa_circ_0063781,facet joint osteoarthritis
hsa_circ_0087537,facet joint osteoarthritis
hsa_circ_0029067,facet joint osteoarthritis
circ_092520,crohn disease
hsa_circ_0000615,hirschsprung disease
hsa_circ_0019069,diabetic retinopathy
hsa_circrna_050898,moyamoya disease
hsa_circ_0023956,active pulmonary tuberculosis
hsa_circ_0078768,active pulmonary tuberculosis
circrna_11058,rheumatic heart disease
hsa_circ_0005218,pre-eclampsia
circrna_11017,rheumatic heart disease
circrna_0018168,acne vulgaris
hsa_circ_0000414,"tuberculosis, pulmonary"
circrunx2,osteoporosis
hsa_circrna_091692,active tuberculosis
hsa_circ_0026372,diabetic retinopathy
hsa_circ_103047,"arthritis, rheumatoid"
hsa_circ_0005442,pre-eclampsia
hsa_circ_0014243,hypertension
hsa_circ_0001947,"leukemia, myeloid, acute"
hsa_circrna_102101,active tuberculosis
hsa_circ_0068942,coronary artery disease
hsa_circ_0051172,coronary artery disease
circfoxo3,cardiac senescence
cznf609,lymphangiogenesis
circzc3h4,silicosis
hsa_circrna_102296,active tuberculosis
hsa_circrna_000598,osteoarthritis
hsa_circ_003524,"arthritis, rheumatoid"
hsa-circ-0005870,hypertension
hsa_circ_0000175,lupus nephritis
circ_103124,crohn disease
hsa_circ_004121,fatty liver
hsa_circ_0089378,coronary artery disease
circznf609,vascular endothelial dysfunction
hsa_circ_0012919,"lupus erythematosus, systemic"
circrna.2837,sciatica
hsa_circrna_404686,repeated implantation failure
circrna7752,herpes simplex
hsa_circ_0001410,"depressive disorder, major"
circrna-chr19,"hemorrhagic fever, ebola"
hsa_circrna_104296,active tuberculosis
hsa_circ_0064996,"arthritis, rheumatoid"
hsa_circ_000361,"liver cirrhosis, biliary"
hsa-circ-000595,aortic aneurysm
hsa_circrna_404457,diabetic retinopathy
hsa_circ_0081162,diabetic retinopathy
hsa_circ_0068489,diabetic retinopathy
hsa_circrna_104387,diabetic retinopathy
circhla-c,lupus nephritis
hsa_circ_0040705,"lupus erythematosus, systemic"
hsa_circ_0000615,diabetic retinopathy
hsa_circ_0083357,coronary artery disease
hsa_circ_0000378,primary great saphenous vein varicosities
czranb1,retinal neurodegeneration
hsa_circ_0002908,"tuberculosis, pulmonary"
hsa_circ_0006935,repeated implantation failure
hsa_circ6510-1,"diabetes mellitus, type 2"
hsa_circ_0007788,"osteoporosis, postmenopausal"
hsa_circ_0032131,osteoarthritis
circrna.20159,"diabetes, gestational"
circ_1639,"liver diseases, alcoholic"
hsa_circrna_029965,active tuberculosis
hsa_circ_007850,fatty liver
hsa_circrna_100782,pre-eclampsia
hsa_circ_0005267,primary great saphenous vein varicosities
hsa_circ_0062557,endometriosis
hsa_circ_0005620,"depressive disorder, major"
circ_101222,pre-eclampsia
hsa_circ_0006766,"osteoporosis, postmenopausal"
hsa_circ_0054537,coronary artery disease
hsa_circ_0058058,"leukemia, myeloid, acute"
hsa_circrna_103503,"arthritis, rheumatoid"
circrna_15698,diabetic nephropathies
hsa_circ_0005015,diabetic retinopathy
hsa_circ_0001946,alzheimer disease
hsa_circ_0024892,multiple sclerosis
hsa_circ_0035381,"leukemia, myeloid, acute"
circ_0043144,"vitreoretinopathy, proliferative"
circrna_11109,rheumatic heart disease
circslc8a1,cardiovascular diseases
hsa_circrna_005019,t2dm with depression
hsa_circ_0004277,"leukemia, myeloid, acute"
hsa_circ_0072765,irradiated hepatic stellate cell
hsa_circ_0002362,"tuberculosis, pulmonary"
circrna_0086376,acne vulgaris
circrna6783,herpes simplex
hsa_circ_102485,"liver cirrhosis, biliary"
circ_aff2,hematopoiesis
hsa_circ_0001417,tuberculosis
hsa_circ_407176,"liver cirrhosis, biliary"
circ_stk24,"epilepsy, temporal lobe"
hsa_circ_0026143,endometriosis
circrna.22054,"diabetes, gestational"
hsa_circ_102533,leukoaraiosis
hsa_circ_0068087,diabetes mellitus
hsa_circ_0000519,multiple sclerosis
hsa_circ_0045272,"lupus erythematosus, systemic"
hsa_circ_0003575,atherosclerosis
hsa_circrna_092516,"arthritis, rheumatoid"
hsa_circ_0001907,"depressive disorder, major"
hsa_circ_101873,"arthritis, rheumatoid"
hsa_circ_0001819,lupus nephritis
cttn4,heart failure
hsa_circ_0002062,chronic thromboembolic pulmonary hypertension
hsa_circ_104871,"arthritis, rheumatoid"
circ_0002198,endometriosis
hsa_circ_0030569,tuberculosis
circrna-0001855,pre-eclampsia
circrna_092516,"arthritis, rheumatoid"
hsa_circ_0006427,primary great saphenous vein varicosities
hsa_circ_0009128,active pulmonary tuberculosis
circrna_0016624,"osteoporosis, postmenopausal"
circ_drosha,"epilepsy, temporal lobe"
hsa_circrna_102034,"arthritis, rheumatoid"
hsa_circ_0054633,diabetes mellitus
hsa_circrna_100257,"arthritis, rheumatoid"
circpvt1,precursor cell lymphoblastic leukemia-lymphoma
hsa_circ_0002078,moyamoya disease
hsa_circ_0057762,"lupus erythematosus, systemic"
hsa_circ_0049224,"lupus erythematosus, systemic"
hsa_circ_0013255,liver cirrhosis
hsa_circ_0071896,facet joint osteoarthritis
hsa_circrna_103047,"arthritis, rheumatoid"
has-circrna_0046367,fatty liver
hsa_circ_0013255,irradiated hepatic stellate cell
hsa_circ_0061893,irradiated hepatic stellate cell
hsa_circ_0008305,intervertebral disc degeneration
circrna_104871,"arthritis, rheumatoid"
hsa_circ_0061893,liver cirrhosis
hsa_circ_0089310,"depressive disorder, major"
hsa_circrna_100750,diabetic retinopathy
hsa_circ_0003391,"osteoporosis, postmenopausal"
hsa_circ_0023404,osteoarthritis
hsa_circ_0057576,coronary artery disease
hsa_circ_0008887,immunosenescence
hsa_circ_0113854,coronary artery disease
hsa_circ_0091702,intervertebral disc degeneration
circrna_101873,"arthritis, rheumatoid"
circ_0004712,endometriosis
hsa_circrna_063981,diabetic retinopathy
hsa_circ_0001400,multiple sclerosis
hsa_circ_000367,fatty liver
hsa_circ_0071410,irradiated hepatic stellate cell
hsa_circ_0029601,pre-eclampsia
circrna-0067835,"epilepsy, temporal lobe"
hsa_circrna_14623,"tuberculosis, pulmonary"
hsa_circ_0004712,"arthritis, rheumatoid"
