circRNA,miRNA
hsa_circ_0023404,mir-636
hsa_circ_102485,hsa-mir-522-3p
hsa-circ-0005870,hsa-mir-6807-3p
circ_efcab2,mir-485-5p
hsa_circ_0061893,mir-9-5p
hsa_circ_0005105,mir-519d-3p
hsa_circ_0091702,mir-200c
hsa_circ_0089378,mir-130a-3p
hsa-circ-0005870,hsa-mir-5095
hsa_circ_052372,hsa-mir-522-3p
hsa_circ_406329,hsa-mir-943
hsa_circ_0051172,hsa-mir-130a-3p
hsa_circ_0000615,akt3
hsa-circrna-102685,hsa-mir-146a-5p
hsa_circ_0005870,hsa-mir-5096
hsa_circ_0005105,nampt
hsa_circ_0089378,hsa-mir-130a-3p
hsa_circ_0004277,hsa-mir-892b
hsa-circrna-102685,hsa-mir-146b-5p
hsa_circ_087631,hsa-mir-522-3p
hsa_circ_406329,hsa-mir-522-3p
hsa_circ_0022342,sa-mir-940
circ_drosha,mir-1252-5p
hsa_circ_0002062,hsa-mir-940
circrna_atp9b,mir-138-5p
hsa-circrna-102685,hsa-mir-182-5p
circrna_000203,mir-26b-5p
circankrd36,hsa-mir-498
